,duration,src_bytes,dst_bytes,count,srv_count,protocol_type,attack_type
63,0,0,0,63,10,tcp,neptune
64,0,696,333,1,1,tcp,normal
65,0,0,0,1,1,tcp,portsweep
66,0,0,0,52,19,tcp,neptune
67,0,0,0,125,7,tcp,neptune
68,0,0,0,168,21,tcp,neptune
69,0,221,2878,1,1,tcp,normal
70,0,0,0,145,16,tcp,neptune
71,0,181,0,3,2,icmp,normal
72,0,42,42,9,14,udp,normal
73,0,0,0,138,6,tcp,neptune
74,0,12,0,1,1,tcp,normal
75,0,0,0,276,9,tcp,neptune
76,0,210,2790,10,27,tcp,normal
77,0,321,5683,10,10,tcp,normal
78,0,0,0,248,8,tcp,neptune
79,0,329,3982,2,31,tcp,normal
80,0,0,0,135,7,tcp,neptune
81,0,0,0,220,19,tcp,neptune
82,0,8,0,1,44,icmp,ipsweep
83,0,320,379,9,9,tcp,normal
84,0,0,0,212,7,tcp,neptune
85,0,225,3762,10,10,tcp,normal
86,0,0,0,250,13,tcp,neptune
87,0,0,0,132,15,tcp,neptune
88,315,146,105,3,2,udp,normal
89,0,247,1416,11,11,tcp,normal
90,0,353,1483,3,9,tcp,normal
91,0,44,44,109,189,udp,normal
92,0,0,0,146,18,tcp,neptune
93,0,0,0,300,6,tcp,neptune
94,2,3065,331,1,2,tcp,normal
95,0,102,102,1,1,udp,normal
96,0,259,750,4,5,tcp,normal
97,1082,147,105,2,2,udp,normal
98,0,0,0,129,16,tcp,neptune
99,0,0,354,32,32,tcp,normal
100,0,309,306,1,1,tcp,normal
101,0,0,0,1,2,tcp,normal
102,0,278,7227,3,3,tcp,normal
103,0,28,0,82,82,udp,teardrop
104,0,313,761,1,1,tcp,normal
105,0,219,1212,15,15,tcp,normal
106,0,245,9165,2,3,tcp,normal
107,0,328,2243,21,21,tcp,normal
108,0,0,0,1,1,tcp,normal
109,0,251,301,3,7,tcp,normal
110,0,2089,335,2,2,tcp,normal
111,0,0,0,1,1,tcp,normal
112,0,237,511,1,1,tcp,normal
113,0,324,431,4,5,tcp,normal
114,25950,1,0,2,2,tcp,portsweep
115,0,0,0,110,17,tcp,neptune
116,0,105,145,4,1,udp,normal
117,0,218,974,6,6,tcp,normal
118,0,325,2649,7,7,tcp,normal
119,0,0,0,246,20,tcp,neptune
120,0,0,0,272,19,tcp,neptune
121,0,0,0,259,8,tcp,neptune
122,240,328,275,9,10,tcp,normal
123,0,0,0,294,6,tcp,neptune
124,0,9,138,1,1,tcp,normal
125,0,46,46,96,178,udp,normal
126,1,1079,334,1,1,tcp,normal
127,0,45,139,79,159,udp,normal
128,26,273,903,1,1,tcp,normal
129,0,0,0,190,20,tcp,neptune
130,0,0,0,135,5,tcp,neptune
131,0,237,138,2,2,tcp,normal
132,0,225,1357,1,1,tcp,normal
133,0,0,0,123,7,tcp,neptune
134,0,0,0,245,20,tcp,neptune
135,0,147,0,3,1,udp,normal
136,0,262,1011,3,4,tcp,normal
137,0,1032,0,263,263,icmp,smurf
138,0,0,0,109,13,tcp,neptune
139,0,261,8412,9,9,tcp,normal
140,0,0,0,145,8,tcp,neptune
141,0,0,0,250,2,tcp,neptune
142,0,294,1719,8,8,tcp,normal
143,0,221,981,2,3,tcp,normal
144,0,284,10352,2,2,tcp,normal
145,0,0,0,1,1,tcp,nmap
146,0,309,16096,3,3,tcp,normal
147,0,334,0,2,2,tcp,warezclient
148,0,0,0,13,4,tcp,neptune
149,0,0,0,87,1,tcp,neptune
150,0,214,283,2,2,tcp,normal
151,0,0,0,292,13,tcp,neptune
152,0,0,0,295,18,tcp,neptune
153,0,0,0,143,15,tcp,neptune
154,0,46,78,278,277,udp,normal
155,0,748,0,1,1,tcp,normal
156,0,0,0,102,19,tcp,neptune
157,0,8,0,1,46,icmp,ipsweep
158,0,0,0,251,3,tcp,neptune
159,0,329,8437,4,4,tcp,normal
160,0,9,0,2,2,tcp,normal
161,0,46,128,222,302,udp,normal
162,0,1766,0,2,2,tcp,normal
163,0,0,0,260,4,tcp,neptune
164,9015,1,0,2,2,tcp,portsweep
165,7,8,135,1,1,tcp,normal
166,0,266,529,1,6,tcp,normal
167,0,245,0,3,2,tcp,normal
168,0,295,465,11,12,tcp,normal
169,0,0,0,44,12,tcp,neptune
170,0,228,6834,2,7,tcp,normal
171,0,1032,0,511,511,icmp,smurf
172,0,0,0,272,15,tcp,neptune
173,0,0,0,122,19,tcp,neptune
174,0,0,0,287,3,tcp,neptune
175,0,0,0,1,3,tcp,normal
176,0,0,0,486,1,tcp,satan
177,0,1,0,22,6,udp,satan
178,0,0,0,286,9,tcp,neptune
179,0,30,0,1,1,icmp,normal
180,1,2078,333,1,2,tcp,normal
181,0,19,0,1,1,tcp,normal
182,0,661,329,1,1,tcp,normal
183,0,28,0,35,34,udp,teardrop
184,0,0,0,28,2,tcp,neptune
185,0,0,0,108,18,tcp,neptune
186,0,0,0,101,5,tcp,neptune
187,0,1075,364,1,2,tcp,normal
188,0,223,656,12,21,tcp,normal
189,15159,350,1185,1,2,tcp,warezclient
190,0,233,2470,10,10,tcp,normal
191,0,0,0,223,10,tcp,neptune
192,0,0,0,223,17,tcp,neptune
193,0,201,1938,19,34,tcp,normal
194,0,271,4781,4,7,tcp,normal
195,0,14416,0,1,1,tcp,normal
196,0,227,11564,5,6,tcp,normal
197,0,0,0,406,1,tcp,portsweep
198,0,225,2445,4,5,tcp,normal
199,0,176,426,6,6,tcp,normal
200,0,0,0,143,14,tcp,neptune
201,0,227,762,17,17,tcp,normal
202,0,855,575,1,1,tcp,normal
203,0,944,330,1,1,tcp,normal
204,0,954,326,2,1,tcp,normal
205,0,0,0,201,18,tcp,neptune
206,0,166,34660,1,1,tcp,normal
207,0,306,2698,4,5,tcp,normal
208,0,0,0,124,19,tcp,neptune
209,0,0,0,162,1,tcp,satan
210,0,1480,0,2,4,icmp,pod
211,0,0,0,277,17,tcp,neptune
212,0,313,8549,4,4,tcp,normal
213,0,0,0,274,22,tcp,neptune
214,0,0,0,141,12,tcp,neptune
215,0,285,6008,3,3,tcp,normal
216,0,226,1411,8,23,tcp,normal
217,0,256,12984,1,1,tcp,normal
218,1,3740,449,1,3,tcp,normal
219,0,224,449,10,11,tcp,normal
220,0,0,0,103,3,tcp,neptune
221,4,832,0,1,1,tcp,warezclient
222,0,0,0,246,20,tcp,neptune
223,0,8,0,1,50,icmp,ipsweep
224,0,201,169,7,7,tcp,normal
225,0,285,304,32,34,tcp,normal
226,0,0,0,125,24,tcp,neptune
227,0,7422,0,8,8,tcp,normal
228,0,198,12884,2,2,tcp,normal
229,20,2310,328,1,3,tcp,normal
230,0,331,955,6,6,tcp,normal
231,0,65,0,9,2,icmp,normal
232,0,28,0,4,4,udp,teardrop
233,0,45,77,171,173,udp,normal
234,0,0,0,250,3,tcp,neptune
235,0,0,0,238,7,tcp,neptune
236,0,0,0,102,2,tcp,neptune
237,0,9,142,1,1,tcp,normal
238,0,283,912,2,2,tcp,normal
239,0,221,1789,2,10,tcp,normal
240,0,18,0,1,1,icmp,ipsweep
241,0,0,0,281,2,tcp,neptune
242,0,0,0,30,2,tcp,neptune
243,0,0,0,276,8,tcp,neptune
244,0,302,1380,5,5,tcp,normal
245,0,0,0,163,9,tcp,neptune
246,0,8,0,1,21,icmp,ipsweep
247,0,0,0,301,20,tcp,neptune
248,0,355,870,28,28,tcp,normal
249,0,8,0,1,23,icmp,ipsweep
250,18,106,1468,1,1,tcp,normal
251,0,286,1423,16,16,tcp,normal
252,9235,1,0,2,2,tcp,portsweep
253,0,0,0,1,1,tcp,nmap
254,0,1032,0,46,46,icmp,smurf
255,0,168,9551,1,2,tcp,normal
256,0,238,864,39,39,tcp,normal
257,0,0,0,1,1,tcp,portsweep
258,0,291,10369,6,6,tcp,normal
259,0,0,0,211,22,tcp,neptune
260,0,749,330,1,1,tcp,normal
261,0,198,6924,12,12,tcp,normal
262,0,0,0,280,11,tcp,neptune
263,0,167,709,1,4,tcp,normal
264,0,241,851,17,35,tcp,normal
265,0,337,3360,6,6,tcp,normal
266,0,729,328,1,1,tcp,normal
267,0,8,0,1,44,icmp,ipsweep
268,0,0,0,201,1,tcp,neptune
269,0,222,1483,3,3,tcp,normal
270,0,0,0,276,14,tcp,neptune
271,0,0,0,1,1,tcp,normal
272,0,46,134,145,225,udp,normal
273,0,246,2719,1,1,tcp,normal
274,0,222,771,8,8,tcp,normal
275,0,0,0,258,10,tcp,neptune
276,0,0,0,256,12,tcp,neptune
277,409,279,9598,1,1,tcp,normal
278,0,226,651,12,12,tcp,normal
279,0,299,447,26,44,tcp,normal
280,0,0,0,14,6,tcp,neptune
281,0,12,0,2,2,tcp,normal
282,0,281,1951,30,31,tcp,normal
283,0,0,0,138,25,tcp,neptune
284,0,42,42,4,6,udp,normal
285,0,0,0,300,7,tcp,neptune
286,0,0,0,199,9,tcp,neptune
287,0,263,453,15,15,tcp,normal
288,36613,1,0,2,2,tcp,portsweep
289,0,0,0,1,1,tcp,normal
290,0,0,0,144,15,tcp,neptune
291,0,0,0,104,4,tcp,neptune
292,0,283,1980,18,18,tcp,normal
293,0,161,5530,2,2,tcp,normal
294,0,211,321,7,11,tcp,normal
295,0,201,1701,7,7,tcp,normal
296,0,8,0,1,25,icmp,nmap
297,0,147,0,3,1,udp,normal
298,0,0,0,74,16,tcp,neptune
299,0,567,0,1,1,tcp,normal
300,0,0,0,225,2,tcp,neptune
301,0,0,0,66,16,tcp,neptune
302,5043,5131424,0,1,7,tcp,warezclient
303,0,320,420,7,7,tcp,normal
304,0,8,0,1,35,icmp,ipsweep
305,0,0,0,2,2,tcp,normal
306,0,204,1229,4,4,tcp,normal
307,0,0,0,1,1,tcp,portsweep
308,0,10389,0,1,1,tcp,normal
309,0,0,0,139,13,tcp,neptune
310,0,344,573,28,60,tcp,normal
311,0,0,0,144,16,tcp,neptune
312,0,0,0,241,19,tcp,neptune
313,0,243,821,15,19,tcp,normal
314,0,1032,0,213,213,icmp,smurf
315,0,8,0,1,45,icmp,ipsweep
316,0,0,0,36,1,tcp,satan
317,0,105,146,3,2,udp,normal
318,0,0,0,254,17,tcp,neptune
319,1,1080,327,1,2,tcp,normal
320,0,0,0,295,7,tcp,neptune
321,0,0,0,171,3,tcp,neptune
322,0,0,0,179,2,tcp,neptune
323,0,657,326,2,1,tcp,normal
324,0,0,0,101,7,tcp,neptune
325,0,284,765,9,9,tcp,normal
326,0,261,15455,22,22,tcp,normal
327,0,317,315,1,2,tcp,normal
328,0,33,0,8,8,udp,normal
329,0,0,0,2,1,tcp,portsweep
330,0,0,0,1,1,tcp,portsweep
331,0,44,70,195,197,udp,normal
332,0,215,584,4,9,tcp,normal
333,0,0,0,260,9,tcp,neptune
334,0,332,2844,14,14,tcp,normal
335,1,978,334,1,3,tcp,normal
336,0,296,5670,10,10,tcp,normal
337,0,0,0,125,13,tcp,neptune
338,0,0,0,139,10,tcp,neptune
339,0,214,9986,10,11,tcp,normal
340,0,0,0,251,7,tcp,neptune
341,0,48,48,1,1,udp,normal
342,0,226,1301,5,5,tcp,normal
343,0,0,0,211,17,tcp,neptune
344,0,78,0,20,8,icmp,normal
345,0,0,0,208,2,tcp,neptune
346,0,0,0,1,1,tcp,normal
347,0,0,0,268,19,tcp,neptune
348,0,0,0,1,1,tcp,ipsweep
349,0,0,0,2,1,tcp,portsweep
350,0,294,3327,1,19,tcp,normal
351,0,0,0,286,3,tcp,neptune
352,0,220,1249,7,7,tcp,normal
353,0,0,0,425,1,tcp,satan
354,0,196,3282,8,9,tcp,normal
355,0,0,0,272,30,tcp,neptune
356,0,327,4482,4,8,tcp,normal
357,0,0,0,241,3,tcp,neptune
358,0,319,0,2,2,tcp,normal
359,0,1087,302,1,1,tcp,normal
360,0,210,3754,18,18,tcp,normal
361,0,0,0,125,19,tcp,neptune
362,0,0,0,1,1,tcp,normal
363,0,234,6282,6,6,tcp,normal
364,0,8,0,1,18,icmp,ipsweep
365,0,54540,8314,1,1,tcp,back
366,0,237,1461,3,3,tcp,normal
367,0,0,0,42,10,tcp,neptune
368,0,0,0,274,10,tcp,neptune
369,0,200,955,3,3,tcp,normal
370,0,219,657,7,9,tcp,normal
371,0,284,5921,1,1,tcp,normal
372,0,0,0,196,12,tcp,neptune
373,0,325,426,5,5,tcp,normal
374,0,0,0,111,6,tcp,neptune
375,0,30,0,1,1,icmp,normal
376,0,335,7902,1,8,tcp,normal
377,0,36,0,2,4,udp,normal
378,0,0,0,168,3,tcp,neptune
379,0,43,43,122,188,udp,normal
380,0,0,0,108,8,tcp,neptune
381,0,0,0,1,1,tcp,normal
382,0,0,0,36,12,tcp,neptune
383,0,0,0,143,19,tcp,neptune
384,0,216,1956,1,21,tcp,normal
385,0,0,0,132,8,tcp,neptune
386,0,44,78,139,139,udp,normal
387,0,347,8113,7,7,tcp,normal
388,1,570,280,1,1,tcp,normal
389,0,219,17540,8,8,tcp,normal
390,0,146,0,3,1,udp,normal
391,0,0,0,222,1,tcp,neptune
392,0,0,0,260,8,tcp,neptune
393,0,0,0,237,15,tcp,neptune
394,0,0,0,132,15,tcp,neptune
395,31401,1,0,2,2,tcp,portsweep
396,0,0,0,57,11,tcp,neptune
397,0,18,0,1,1,icmp,ipsweep
398,0,0,4,1,1,tcp,normal
399,0,233,581,13,26,tcp,normal
400,0,0,0,257,19,tcp,neptune
401,0,276,0,1,1,tcp,normal
402,0,44,139,77,157,udp,normal
403,0,8,0,1,27,icmp,ipsweep
404,7805,1828,148722,1,1,tcp,normal
405,0,200,764,2,12,tcp,normal
406,0,46,46,11,20,udp,normal
407,0,0,0,257,19,tcp,neptune
408,0,0,0,13,13,tcp,neptune
409,0,216,5284,9,9,tcp,normal
410,0,0,0,137,9,tcp,neptune
411,0,234,997,28,28,tcp,normal
412,0,220,1643,12,25,tcp,normal
413,0,0,0,132,3,tcp,neptune
414,0,105,146,7,1,udp,normal
415,0,0,0,1,1,tcp,normal
416,0,0,0,290,16,tcp,neptune
417,0,0,0,203,2,tcp,neptune
418,0,0,0,290,8,tcp,neptune
419,0,288,2881,14,16,tcp,normal
420,0,0,0,116,3,tcp,neptune
421,0,0,0,260,6,tcp,neptune
422,0,1,0,12,1,udp,satan
423,0,28,0,21,21,udp,teardrop
424,0,279,494,2,2,tcp,normal
425,0,1032,0,486,486,icmp,smurf
426,0,192,0,2,3,tcp,normal
427,7,105,1401,1,1,tcp,normal
428,0,0,0,1,1,tcp,ipsweep
429,10,1330,282,1,1,tcp,normal
430,0,520,0,457,457,icmp,smurf
431,0,0,0,47,4,tcp,neptune
432,0,230,362,10,18,tcp,normal
433,0,44,110,71,151,udp,normal
434,0,271,3582,12,12,tcp,normal
435,0,179,1668,6,6,tcp,normal
436,0,852,0,6,6,tcp,normal
437,0,222,310,5,13,tcp,normal
438,0,314,4137,7,7,tcp,normal
439,0,0,0,139,10,tcp,neptune
440,0,230,6880,1,17,tcp,normal
441,0,0,0,200,6,tcp,neptune
442,0,0,0,140,1,tcp,neptune
443,0,857,327,1,1,tcp,normal
444,0,234,1707,9,9,tcp,normal
445,0,1032,0,511,511,icmp,smurf
446,0,28,0,68,68,udp,teardrop
447,0,0,0,132,7,tcp,neptune
448,0,215,6367,9,9,tcp,normal
449,0,46,46,215,215,udp,normal
450,0,105,146,1,1,udp,normal
451,0,0,0,115,18,tcp,neptune
452,0,0,0,35,16,tcp,neptune
453,0,0,0,275,15,tcp,neptune
454,0,305,2507,4,4,tcp,normal
455,0,0,0,76,13,tcp,neptune
456,0,336,15767,12,12,tcp,normal
457,0,0,0,202,2,tcp,neptune
458,0,0,0,252,14,tcp,neptune
459,5784,147,105,1,1,udp,normal
460,0,335,1212,3,3,tcp,normal
461,0,0,0,74,17,tcp,neptune
462,0,339,241,1,1,tcp,normal
463,0,317,3245,4,4,tcp,normal
464,0,0,0,116,19,tcp,neptune
465,0,54540,8314,2,2,tcp,back
466,0,0,0,197,2,tcp,neptune
467,0,42,131,80,160,udp,normal
468,0,986,368,1,1,tcp,normal
469,0,0,0,198,4,tcp,neptune
470,0,183,0,4,4,icmp,normal
471,0,0,0,102,3,tcp,neptune
472,0,405,23786,1,1,tcp,normal
473,0,0,0,223,21,tcp,neptune
474,0,785,327,1,1,tcp,normal
475,0,258,4302,1,1,tcp,normal
476,0,0,0,138,6,tcp,neptune
477,0,8,0,1,28,icmp,ipsweep
478,0,318,2649,5,5,tcp,normal
479,0,0,0,154,1,tcp,neptune
480,0,0,0,204,18,tcp,neptune
481,0,0,0,262,4,tcp,neptune
482,0,216,1240,8,8,tcp,normal
483,1,0,0,25,2,tcp,portsweep
484,0,291,320,3,3,tcp,normal
485,0,224,546,21,21,tcp,normal
486,0,0,0,459,5,tcp,satan
487,0,0,0,253,1,tcp,neptune
488,542,17,42,1,1,udp,normal
489,0,0,0,142,15,tcp,neptune
490,0,29,29,1,3,udp,normal
491,0,105,147,1,1,udp,normal
492,0,30,0,12,1,icmp,normal
493,0,325,12884,5,9,tcp,normal
494,0,0,0,139,20,tcp,neptune
495,0,0,0,1,1,tcp,normal
496,0,12,0,1,2,tcp,normal
497,0,212,828,9,9,tcp,normal
498,0,240,1475,12,12,tcp,normal
499,0,292,13206,5,5,tcp,normal
500,0,172,12793,1,2,tcp,normal
501,0,0,0,196,9,tcp,neptune
502,0,310,788,3,3,tcp,normal
503,0,44,128,4,84,udp,normal
504,0,145,0,3,1,udp,normal
505,1,1238,2451,1,1,tcp,warezclient
506,0,8,0,1,7,icmp,ipsweep
507,0,45,45,167,167,udp,normal
508,0,0,0,2,1,tcp,portsweep
509,2,1551,362,1,2,tcp,normal
510,4,1308,328,1,1,tcp,normal
511,0,356,1125,3,3,tcp,normal
512,0,364,6914,13,13,tcp,normal
513,0,331,776,10,14,tcp,normal
514,0,30,0,2,1,icmp,normal
515,0,0,0,262,7,tcp,neptune
516,0,0,0,103,17,tcp,neptune
517,0,247,7546,14,14,tcp,normal
518,0,300,1841,43,43,tcp,normal
519,0,0,0,221,16,tcp,neptune
520,0,355,2109,5,26,tcp,normal
521,0,0,0,33,14,tcp,neptune
522,0,316,1260,3,9,tcp,normal
523,0,44,136,224,300,udp,normal
524,30,1458,4152,1,1,tcp,normal
525,0,0,0,221,14,tcp,neptune
526,10455,146,105,4,2,udp,normal
527,0,0,0,1,1,tcp,portsweep
528,0,0,0,284,14,tcp,neptune
529,0,1,0,2,2,udp,satan
530,0,0,0,150,16,tcp,neptune
531,0,0,0,255,9,tcp,neptune
532,10326,146,105,5,2,udp,normal
533,0,0,0,26,2,tcp,neptune
534,0,13794,2966,2,2,tcp,normal
535,0,0,0,74,20,tcp,neptune
536,0,911,325,2,1,tcp,normal
537,0,0,0,7,9,tcp,neptune
538,0,280,3332,2,2,tcp,normal
539,0,0,0,235,4,tcp,neptune
540,0,0,0,131,20,tcp,neptune
541,0,41,41,100,166,udp,normal
542,0,10,139,1,1,tcp,normal
543,0,311,488,11,11,tcp,normal
544,0,281,1745,2,2,tcp,normal
545,0,297,1285,8,8,tcp,normal
546,0,0,0,124,2,tcp,neptune
547,0,43,72,263,264,udp,normal
548,0,0,0,34,15,tcp,neptune
549,0,334,0,1,1,tcp,warezclient
550,0,8,0,1,15,icmp,ipsweep
551,0,215,9399,16,23,tcp,normal
552,0,0,0,16,3,tcp,neptune
553,0,0,0,1,2,tcp,normal
554,0,516,4,151,151,udp,normal
555,0,0,0,1,1,tcp,ipsweep
556,0,0,0,115,7,tcp,neptune
557,0,0,0,130,10,tcp,neptune
558,0,0,0,236,15,tcp,neptune
559,28,44,44,3,5,udp,normal
560,0,0,0,280,16,tcp,neptune
561,0,676,328,1,1,tcp,normal
562,0,334,455,7,9,tcp,normal
563,0,0,0,268,2,tcp,neptune
564,0,0,0,84,18,tcp,neptune
565,0,204,1596,24,24,tcp,normal
566,0,520,0,139,139,icmp,smurf
567,0,0,0,211,6,tcp,neptune
568,0,192,301,9,9,tcp,normal
569,0,18,0,1,1,icmp,ipsweep
570,0,0,0,100,2,tcp,neptune
571,0,0,0,101,13,tcp,neptune
572,0,0,0,265,4,tcp,neptune
573,0,256,4486,1,1,tcp,normal
574,0,64,0,1,1,icmp,normal
575,0,46,136,210,210,udp,normal
576,0,0,0,54,17,tcp,neptune
577,0,220,253,16,24,tcp,normal
578,0,41,117,43,43,udp,normal
579,0,248,2313,23,36,tcp,normal
580,0,1250,2451,1,1,tcp,warezclient
581,0,0,0,248,20,tcp,neptune
582,0,44,70,127,127,udp,normal
583,202,209,1824,1,1,tcp,normal
584,0,5891,0,13,1,tcp,normal
585,0,8,0,1,39,icmp,ipsweep
586,0,276,1767,2,6,tcp,normal
587,0,231,2304,13,13,tcp,normal
588,0,0,0,251,12,tcp,neptune
589,0,312,422,11,15,tcp,normal
590,41285,1,0,2,2,tcp,portsweep
591,0,0,0,222,18,tcp,neptune
592,0,29,0,2,2,udp,normal
593,0,13239,0,4,4,tcp,normal
594,0,0,0,228,4,tcp,neptune
595,0,8,223,1,1,tcp,normal
596,0,0,0,129,22,tcp,neptune
597,0,44,79,255,255,udp,normal
598,0,0,0,118,9,tcp,neptune
599,0,0,0,84,16,tcp,neptune
600,0,324,10647,2,2,tcp,normal
601,0,0,0,115,4,tcp,neptune
602,0,18,0,1,1,icmp,ipsweep
603,0,355,657,16,16,tcp,normal
604,13488,1,0,2,2,tcp,portsweep
605,0,0,0,111,10,tcp,neptune
606,0,54540,8314,4,4,tcp,back
607,0,205,253,11,11,tcp,normal
608,0,0,0,241,12,tcp,neptune
609,0,325,753,7,9,tcp,normal
610,0,0,0,242,1,tcp,neptune
611,0,232,193,1,1,tcp,normal
612,4,886,326,1,1,tcp,normal
613,0,319,3432,9,9,tcp,normal
614,0,0,0,101,6,tcp,neptune
615,0,0,0,1,1,tcp,ipsweep
616,0,147,12141,12,12,tcp,normal
617,1,1451,330,1,2,tcp,normal
618,0,54540,8314,3,3,tcp,back
619,0,235,1889,1,19,tcp,normal
620,25,0,0,1,1,tcp,portsweep
621,0,0,0,320,1,tcp,portsweep
622,0,299,1540,17,29,tcp,normal
623,0,0,0,114,8,tcp,neptune
624,0,0,0,136,23,tcp,neptune
625,0,0,0,272,4,tcp,neptune
626,0,0,0,209,8,tcp,neptune
627,0,237,241,66,66,tcp,normal
628,0,0,0,110,16,tcp,neptune
629,3047,146,105,1,1,udp,normal
630,0,0,0,2,1,tcp,portsweep
631,1327,146,105,3,1,udp,normal
632,0,202,1923,16,17,tcp,normal
633,0,0,0,268,5,tcp,neptune
634,0,383,0,3,2,tcp,normal
635,0,345,2254,4,4,tcp,normal
636,0,278,6546,7,7,tcp,normal
637,0,0,0,292,14,tcp,neptune
638,0,196,16143,5,33,tcp,normal
639,0,0,0,2,2,tcp,neptune
640,0,277,2253,17,17,tcp,normal
641,0,203,578,19,19,tcp,normal
642,0,0,0,1,1,tcp,portsweep
643,860,147,105,1,1,udp,normal
644,0,0,0,297,15,tcp,neptune
645,0,0,0,150,1,tcp,neptune
646,0,0,0,198,6,tcp,neptune
647,0,0,0,63,4,tcp,neptune
648,0,367,5199,4,4,tcp,normal
649,0,0,0,199,1,tcp,portsweep
650,0,257,23051,1,4,tcp,normal
651,0,8,0,1,41,icmp,ipsweep
652,0,44,44,106,105,udp,normal
653,0,128,44,68,68,udp,normal
654,0,254,523,20,20,tcp,normal
655,0,225,22996,6,39,tcp,normal
656,0,775,331,1,1,tcp,normal
657,475,314,266,11,12,tcp,normal
658,0,0,0,299,9,tcp,neptune
659,8,525,335,1,2,tcp,normal
660,0,0,0,509,1,tcp,satan
661,0,1,0,30,8,udp,satan
662,0,213,37327,3,4,tcp,normal
663,0,190,8654,4,4,tcp,normal
664,0,0,0,234,1,tcp,neptune
665,0,28,0,88,88,udp,teardrop
666,0,0,0,244,17,tcp,neptune
667,27,1067,3081,1,1,tcp,normal
668,0,126,44,254,253,udp,normal
669,0,333,2547,4,4,tcp,normal
670,0,0,0,237,12,tcp,neptune
671,0,4491,0,1,1,tcp,normal
672,0,0,0,287,15,tcp,neptune
673,0,54540,8314,4,4,tcp,back
674,0,239,255,19,25,tcp,normal
675,0,0,0,1,1,tcp,normal
676,2,1258,359,1,1,tcp,normal
677,0,0,0,11,11,tcp,neptune
678,0,0,0,73,3,tcp,neptune
679,0,0,0,1,1,tcp,normal
680,0,42,65,104,104,udp,normal
681,0,224,1270,6,18,tcp,normal
682,0,231,3215,1,1,tcp,normal
683,5065,147,105,1,1,udp,normal
684,0,44,72,256,256,udp,normal
685,0,183,0,2,1,icmp,normal
686,0,0,0,240,6,tcp,neptune
687,0,0,0,149,2,tcp,neptune
688,0,125,179,1,1,tcp,guess_passwd
689,0,13,40,1,1,tcp,normal
690,0,233,4759,14,14,tcp,normal
691,0,30,0,2,1,icmp,normal
692,0,0,0,92,3,tcp,neptune
693,0,278,7958,1,2,tcp,normal
694,0,0,0,2,1,tcp,portsweep
695,0,0,0,191,2,tcp,neptune
696,0,237,5193,1,48,tcp,normal
697,0,301,2698,8,9,tcp,normal
698,0,246,3295,5,6,tcp,normal
699,0,230,12471,6,7,tcp,normal
700,0,46,82,230,230,udp,normal
701,1985,147,105,1,1,udp,normal
702,0,0,0,12,5,tcp,neptune
703,0,641,0,2,2,tcp,normal
